No,Pertanyaan,Kategori,"Sumber Aktual","Sumber Expected",Benar,"Skor Kemiripan (%)","Keyword Cocok","Rule ID","Waktu Respons (ms)","Preview Jawaban"
1,"jadwal kuliah","Exact Match",rule,rule,✓,100,"jadwal kuliah",1,37,"Jadwal kuliah dapat dilihat melalui portal akademik (SIA UNI..."
2,"cara isi krs","Exact Match",rule,rule,✓,100,"isi krs",2,10,"Pengisian KRS dilakukan secara online melalui portal SIA UNI..."
3,"biaya kuliah","Exact Match",rule,rule,✓,100,"biaya kuliah",4,11,"Informasi UKT (Uang Kuliah Tunggal) dan pembayaran dapat dil..."
4,"informasi beasiswa","Exact Match",rule,rule,✓,100,beasiswa,7,12,"Informasi beasiswa dapat dilihat di bagian kemahasiswaan kam..."
5,"pendaftaran wisuda","Exact Match",rule,rule,✓,100,wisuda,5,14,"Informasi wisuda dan yudisium dapat dilihat di website resmi..."
6,perpustakaan,"Exact Match",rule,rule,✓,100,perpustakaan,8,12,"Perpustakaan kampus buka setiap Senin–Jumat pukul 08.00–16.0..."
7,"surat keterangan aktif","Exact Match",rule,rule,✓,100,"surat keterangan",9,18,"Pengajuan surat keterangan aktif kuliah, legalisir, dan tran..."
8,"info skripsi","Exact Match",rule,rule,✓,100,skripsi,6,11,"Untuk informasi skripsi/tugas akhir, silakan konsultasi deng..."
9,"jadwl kuliah",Typo,rule,rule,✓,96,"jadwal kuliah",1,10,"Jadwal kuliah dapat dilihat melalui portal akademik (SIA UNI..."
10,"biay kuliah",Typo,rule,rule,✓,95.65,"biaya kuliah",4,8,"Informasi UKT (Uang Kuliah Tunggal) dan pembayaran dapat dil..."
11,beasiwa,Typo,rule,rule,✓,93.33,beasiswa,7,8,"Informasi beasiswa dapat dilihat di bagian kemahasiswaan kam..."
12,perpustakaaan,Typo,rule,rule,✓,96,perpustakaan,8,8,"Perpustakaan kampus buka setiap Senin–Jumat pukul 08.00–16.0..."
13,wisudah,Typo,rule,rule,✓,92.31,wisuda,5,15,"Informasi wisuda dan yudisium dapat dilihat di website resmi..."
14,skripsii,Typo,rule,rule,✓,93.33,skripsi,6,8,"Untuk informasi skripsi/tugas akhir, silakan konsultasi deng..."
15,"jadwla kuliah",Transposisi,rule,rule,✓,92.31,"jadwal kuliah",1,10,"Jadwal kuliah dapat dilihat melalui portal akademik (SIA UNI..."
16,"katru rencana studi",Transposisi,rule,rule,✓,94.74,"kartu rencana studi",2,14,"Pengisian KRS dilakukan secara online melalui portal SIA UNI..."
17,beaswia,Transposisi,rule,rule,✓,80,beasiswa,7,11,"Informasi beasiswa dapat dilihat di bagian kemahasiswaan kam..."
18,wisuad,Transposisi,rule,rule,✓,83.33,wisuda,5,11,"Informasi wisuda dan yudisium dapat dilihat di website resmi..."
19,skripis,Transposisi,rule,rule,✓,85.71,skripsi,6,11,"Untuk informasi skripsi/tugas akhir, silakan konsultasi deng..."
20,perpustakaan,Transposisi,rule,rule,✓,100,perpustakaan,8,10,"Perpustakaan kampus buka setiap Senin–Jumat pukul 08.00–16.0..."
21,"adakah informasi kontak kaprodi teknik informatika?","AI Fallback",ai,ai,✓,-,-,-,1613,"Maaf, saya tidak dapat memproses pertanyaan Anda saat ini. 🤖..."
22,"bagaimana cara mengurus cuti kuliah?","AI Fallback",ai,ai,✓,-,-,-,6666,"Selamat siang/pagi/sore,

Untuk mengurus permohonan cuti kul..."
23,"apa syarat pindah jurusan?","AI Fallback",ai,ai,✓,-,-,-,7628,"Halo, selamat datang di layanan informasi akademik UNISKA MA..."
24,"informasi biaya kuliah",Ambigu,rule,rule,✓,100,"biaya kuliah",4,26,"Informasi UKT (Uang Kuliah Tunggal) dan pembayaran dapat dil..."
25,"kapan kuliah dimulai",Ambigu,rule,rule,✓,100,"kapan kuliah dimulai",3,23,"Untuk informasi kalender akademik dapat dilihat di https://u..."
26,"mau tanya soal ukt",Ambigu,rule,rule,✓,100,ukt,4,20,"Informasi UKT (Uang Kuliah Tunggal) dan pembayaran dapat dil..."
